Leicester City,England,38,15,7,16,51,48,99,
Tottenham Hotspur,England,38,23,2,13,67,39,106,
West Ham United,England,38,15,7,16,52,55,107,
Wolverhampton Wanderers,England,38,16,9,13,47,46,93,
Watford,England,38,14,8,16,52,59,111,
Rojos Cremas,Chapin,Pin Plata,1000,500,0,500,700,100,
Southampton,England,38,9,12,17,45,65,110,
Liverpool,England,38,30,7,1,89,22,111,
Crystal Palace,England,38,14,7,17,51,53,104,
Fulham,England,38,7,5,26,34,81,115,
Huddersfield Town,England,38,3,7,28,22,76,98,
Everton,England,38,15,9,14,54,46,100,
Cardiff City,Wales,38,10,4,24,34,69,103,
Chelsea,England,38,21,9,8,63,39,102,
Brighton & Hove Albion,England,38,9,9,20,35,60,95,
Burnley,England,38,11,7,20,45,68,113,
AFC Bournemouth,England,38,13,6,19,56,70,126,
